,i,p_inh,eff,omega,topol,total_avalanches,avalanche_sizes,avalanche_durations,total_spikes,filename
0,0,0.1,0.1,0.1,full,28,[1 1 2 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 3 1 2 1 1 1 1 1 2 1],[1 1 2 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 3 1 2 1 1 1 1 1 2 1],51,data/s0_Wfull_omg0.1_p0.1_eff0.1.pkl
0,0,0.1,0.1,0.1,small_world,31,[1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 3 1 4 1 1 1 1 1 1 1 1 1],[1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 2 1 4 1 1 1 1 1 1 1 1 1],43,data/s0_Wsmall_world_omg0.1_p0.1_eff0.1.pkl
0,0,0.1,0.1,0.1,scale_free,44,"[2 1 1 1 1 1 1 1 1 1 3 1 2 2 1 1 1 1 1 3 3 1 1 1 1 1 2 1 3 2 1 1 1 1 1 1 3
 5 1 3 2 1 1 1]","[2 1 1 1 1 1 1 1 1 1 3 1 2 2 1 1 1 1 1 2 2 1 1 1 1 1 2 1 2 2 1 1 1 1 1 1 2
 2 1 3 2 1 1 1]",70,data/s0_Wscale_free_omg0.1_p0.1_eff0.1.pkl
0,0,0.1,0.1,0.35,full,157,"[ 1  1  1  2  3  2  3  2  1  1  1  2  1  1  1  1  2  1  1  1  2  1  3  1
  1  1  1  1  2  5  1  1  1  1  1  2  1  1  1  1  1  1  1  1  1  2  1  1
  1  1  1  1  1  2  1  1  1  1  1  1  1  1  3  1  1  1  1  2  1  1  2  1
  1  1  2  1  1  1  1  1 19  1  1  3  1  1  1  1  1  3  1  1  1  2  2  1
  1  1  4  2  1  1  2  1  1  1  1  1  1  1  1  1  1  1  1  2  1  1  1  1
  1  1  1  1  1  1  1  1  1  2  1  1  1  1  3  3  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1]","[ 1  1  1  2  2  1  2  1  1  1  1  2  1  1  1  1  2  1  1  1  2  1  3  1
  1  1  1  1  2  3  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  2  1  1
  1  1  1  1  1  2  1  1  1  1  1  1  1  1  2  1  1  1  1  1  1  1  2  1
  1  1  1  1  1  1  1  1 11  1  1  3  1  1  1  1  1  2  1  1  1  2  2  1
  1  1  4  2  1  1  2  1  1  1  1  1  1  1  1  1  1  1  1  2  1  1  1  1
  1  1  1  1  1  1  1  1  1  2  1  1  1  1  3  3  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1]",230,data/s0_Wfull_omg0.35_p0.1_eff0.1.pkl
0,0,0.1,0.1,0.35,small_world,155,"[1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 1 1 1
 3 2 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1
 2 3 1 1 1 1 1 4 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 2 1 1 1 1 1 2 1 1 1 1 1 1 2
 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 2 1 1 1 2 2 1 1 2 2 3 1 3 1 1 1
 3 2 2 1 1 1 1]","[1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 1 1 1
 2 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1
 2 3 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 2
 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 2 1 1 1 2 2 1 1 2 2 2 1 3 1 1 1
 3 2 1 1 1 1 1]",207,data/s0_Wsmall_world_omg0.35_p0.1_eff0.1.pkl
0,0,0.1,0.1,0.35,scale_free,115,"[1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 2 1 1 1
 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
 1 1 1 1]","[1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1
 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
 1 1 1 1]",140,data/s0_Wscale_free_omg0.35_p0.1_eff0.1.pkl
0,0,0.1,0.1,1.26,full,456,"[1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 5 2 1 1 1 1 1 4 3
 2 2 1 1 1 1 4 2 1 2 2 2 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 4 1 2 1 1 1
 5 3 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 3 2 1 2 2 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1
 2 1 1 1 1 1 2 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 2 1 1 1 1 3 5 1 2
 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 2 1 1 1 1 1 1 3 1 1 1 1
 1 1 1 1 1 1 1 1 2 2 3 1 1 5 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 2 1 4 1 1 1 1
 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 1 1 1 2
 1 2 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 2 1 2 1 1 1
 1 4 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
 2 1 2 1 1 1 1 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 7 1 1
 2 2 1 1 1 1 1 1 1 1 1 1]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 5 1 1 1 1 1 1 4 3
 1 2 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 3 1 1 1 1 1
 4 3 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 3 2 1 2 2 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1
 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 2 5 1 2
 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 2 1 1 1 1 1 1 3 1 1 1 1
 1 1 1 1 1 1 1 1 2 2 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 2 1 4 1 1 1 1
 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 1 1 1 2
 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 2 1 2 1 1 1
 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
 1 1 2 1 1 1 1 1 1 1 1 1 1 2 3 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 3 1 1
 2 2 1 1 1 1 1 1 1 1 1 1]",616,data/s0_Wfull_omg1.26_p0.1_eff0.1.pkl
0,0,0.1,0.1,1.26,small_world,389,"[ 1  1  1  2  2  1  1  1 11  5  1  1  3  2  3  1  2  1  1  1  1  1  1  1
  1  1  2  1  1  1  1  2  2  1  1  1  1  2  1  1  1  1  1  1  1  1  1  1
  2  2  1  1  1  1  1  2  1  1  1  1  1  1  2  1  1  1  2  3  1  2  1  1
  1  2  1  1  1  1  1  1  1  1  1  2  1  2  1  1  1  1  1  1  2  2  1  1
  1  1  1  1  2  1  2  1  1  1  1  1  1  1  2  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  2  1  1  1  1  1  1  1  1  1  1  4  2  1  1  2
  1  1  1  1  1  1  1  1  1  1  2  1  1  3  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  2  1
  1  2  2  3  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  2
  1  1  1  3  1  1  1  1  3  1  1  1  1  1  2  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  2  1  2  1  1  1  1  4  1  1  1  1  1
  1  1  1  1  1  1  1  2  1  1  9  1  1  3  2  1  1  2  1  1  1  1  1  1
  1  1  3  1  1  1  1  1  1  1  1  1  1  1  1  1  2  2  2  1  1  1  1  1
  1  1  1  1  3  2  1  1  1  1  1  1  2  1  1  1  1  1  1  1  1  1  1  1
  1  1  5  1  1  3  2  1  1  3  1  1  1  2  1  3  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  2  1  3  1  1  1  1  2  1  2  3  2  1  1  2  2
  1  1  1  1  2]","[ 1  1  1  2  1  1  1  1 10  3  1  1  3  1  2  1  1  1  1  1  1  1  1  1
  1  1  2  1  1  1  1  2  2  1  1  1  1  2  1  1  1  1  1  1  1  1  1  1
  2  2  1  1  1  1  1  2  1  1  1  1  1  1  1  1  1  1  2  3  1  2  1  1
  1  2  1  1  1  1  1  1  1  1  1  2  1  2  1  1  1  1  1  1  2  2  1  1
  1  1  1  1  2  1  2  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  2  1  1  1  1  1  1  1  1  1  1  3  2  1  1  2
  1  1  1  1  1  1  1  1  1  1  2  1  1  3  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  2  1
  1  1  2  3  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  2
  1  1  1  3  1  1  1  1  3  1  1  1  1  1  2  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  2  1  1  1  1  1  1  4  1  1  1  1  1
  1  1  1  1  1  1  1  2  1  1  7  1  1  3  2  1  1  2  1  1  1  1  1  1
  1  1  3  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  3  2  1  1  1  1  1  1  2  1  1  1  1  1  1  1  1  1  1  1
  1  1  4  1  1  3  2  1  1  2  1  1  1  2  1  3  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  2  1  2  1  1  1  1  2  1  2  2  1  1  1  2  2
  1  1  1  1  2]",560,data/s0_Wsmall_world_omg1.26_p0.1_eff0.1.pkl
0,0,0.1,0.1,1.26,scale_free,327,"[2 2 1 1 1 1 1 1 1 3 1 1 1 2 1 1 2 1 1 2 4 3 1 1 1 1 2 1 2 3 1 2 5 1 1 1 2
 1 1 2 1 5 1 4 3 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 4 1 1 1 2 2 1 2 3 2 1
 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1
 1 1 2 1 1 1 1 1 1 1 6 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
 1 1 1 2 1 1 4 1 1 1 1 2 1 2 1 1 3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 3 1
 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 4 1 1 2 2 1 1 1
 1 1 1 1 2 1 1 1 1 1 1 1 1 2 2 3 1 1 1 1 1 1 1 1 3 1 1 2 1 1 1 1 1 1 1 1 1
 6 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 4 2
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 4 1 1 1 1 1 1 1]","[2 1 1 1 1 1 1 1 1 3 1 1 1 2 1 1 2 1 1 1 2 2 1 1 1 1 2 1 2 3 1 1 5 1 1 1 1
 1 1 1 1 4 1 4 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 4 1 1 1 2 2 1 2 2 2 1
 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1
 1 1 2 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
 1 1 1 2 1 1 2 1 1 1 1 2 1 2 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 2 1 1 1
 1 1 1 1 2 1 1 1 1 1 1 1 1 2 2 3 1 1 1 1 1 1 1 1 3 1 1 2 1 1 1 1 1 1 1 1 1
 5 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 4 1 1 1 1 1 1 1]",497,data/s0_Wscale_free_omg1.26_p0.1_eff0.1.pkl
0,0,0.1,0.1,4.47,full,1235,[1 2 1 ... 9 1 2],[1 2 1 ... 7 1 2],2174,data/s0_Wfull_omg4.47_p0.1_eff0.1.pkl
